Name,Latitude,Longitude
Menelik II Square,9.036020429,38.7524
Abune Petros Memorial,9.035654878,38.74964025
Holy Trinity Cathedral,9.031246439,38.76641907
Tikur Ambessa Teaching Hospital,9.020413797,38.74957017
Ethiopian Electric Utility Head Office,9.032447618,38.75410044
Arada Building,9.032939384,38.75251025
Grove Garden Walk,9.012398925,38.76154934
Empire Cinema,9.033707026,38.75465984
Itegue Taitu ,9.030856756,38.75428433
Degol Square,9.032742811,38.75409121
Kenema Pharmacy,9.033992996,38.76185038
The Zoological Natural History Museum,9.032880441,38.76527288
Embassy of Sweden,9.01883541,38.74901903
Semien Hotel,9.044303189,38.74907165
Lycee Guebre-Mariam,9.024323498,38.75229477
Greek Community School,9.007695103,38.76884154
Lion Pharmacy,9.029004591,38.75252367
Hager Fikir Theatre,9.038176318,38.75454654
Shewa Bakery,9.034198891,38.73864183
Greek Church,9.037596039,38.7555377
National Lottery of Ethiopia,9.030679886,38.75471912
Zefmesh Grand Mall,9.020705936,38.80027954
Eliana Mall,9.030710102,38.75109773
Tourist Hotel,9.033534971,38.76221895
HiLCoE School of Computer Science and Technology,9.030123119,38.76207948
